var	tipo	nulo	llave	"valor"
CPAISN	D	NA	399	"Otros países de América"
CPAISN	D	NA	401	"Afganistán"
CPAISN	D	NA	402	"Arabia Saudí"
CPAISN	D	NA	403	"Bahréin"
CPAISN	D	NA	404	"Bangladesh"
CPAISN	D	NA	405	"Myanmar"
CPAISN	D	NA	407	"China"
CPAISN	D	NA	408	"Emiratos Árabes Unidos"
CPAISN	D	NA	409	"Filipinas"
CPAISN	D	NA	410	"India"
CPAISN	D	NA	411	"Indonesia"
CPAISN	D	NA	412	"Iraq"
CPAISN	D	NA	413	"Irán"
CPAISN	D	NA	414	"Israel"
CPAISN	D	NA	415	"Japón"
CPAISN	D	NA	416	"Jordania"
CPAISN	D	NA	417	"Camboya"
CPAISN	D	NA	418	"Kuwait"
CPAISN	D	NA	419	"Laos"
CPAISN	D	NA	420	"Líbano"
CPAISN	D	NA	421	"Malasia"
CPAISN	D	NA	422	"Maldivas"
CPAISN	D	NA	423	"Mongolia"
CPAISN	D	NA	424	"Nepal"
CPAISN	D	NA	425	"Omán"
CPAISN	D	NA	426	"Pakistán"
CPAISN	D	NA	427	"Qatar"
CPAISN	D	NA	430	"Corea"
CPAISN	D	NA	431	"Corea del Norte"
CPAISN	D	NA	432	"Singapur"
CPAISN	D	NA	433	"Siria"
CPAISN	D	NA	434	"Sri Lanka"
CPAISN	D	NA	435	"Tailandia"
CPAISN	D	NA	436	"Turquía"
CPAISN	D	NA	437	"Vietnam"
CPAISN	D	NA	439	"Brunei"
CPAISN	D	NA	440	"Islas Marshall"
CPAISN	D	NA	441	"Yemen"
CPAISN	D	NA	442	"Azerbaiyán"
CPAISN	D	NA	443	"Kazajstán"
CPAISN	D	NA	444	"Kirguistán"
CPAISN	D	NA	445	"Tadyikistán"
CPAISN	D	NA	446	"Turkmenistán"
CPAISN	D	NA	447	"Uzbekistán"
CPAISN	D	NA	448	"Bhután"
CPAISN	D	NA	499	"Otros países de Asia"
CPAISN	D	NA	501	"Australia"
CPAISN	D	NA	502	"Fiji"
CPAISN	D	NA	504	"Nueva Zelanda"
CPAISN	D	NA	505	"Papúa Nueva Guinea"
CPAISN	D	NA	506	"Islas Salomón"
CPAISN	D	NA	507	"Samoa"
CPAISN	D	NA	508	"Tonga"
CPAISN	D	NA	509	"Vanuatu"
CPAISN	D	NA	511	"Micronesia"
CPAISN	D	NA	512	"Tuvalu"
CPAISN	D	NA	513	"Islas Cook"
CPAISN	D	NA	514	"Kiribati"
CPAISN	D	NA	515	"Nauru"
CPAISN	D	NA	516	"Palaos"
CPAISN	D	NA	517	"Timor Oriental"
CPAISN	D	NA	555	"Apátridas"
CPRON	D	NA	1	"Araba/Álava"
CPRON	D	NA	2	"Albacete"
CPRON	D	NA	3	"Alicante/Alacant"
CPRON	D	NA	4	"Almería"
CPRON	D	NA	5	"Ávila"
CPRON	D	NA	6	"Badajoz"
CPRON	D	NA	7	"Balears, Illes"
CPRON	D	NA	8	"Barcelona"
CPRON	D	NA	9	"Burgos"
CPRON	D	NA	10	"Cáceres"
CPRON	D	NA	11	"Cádiz"
CPRON	D	NA	12	"Castellón/Castelló"
CPRON	D	NA	13	"Ciudad Real"
CPRON	D	NA	14	"Córdoba"
CPRON	D	NA	15	"Coruña, A"
CPRON	D	NA	16	"Cuenca"
CPRON	D	NA	17	"Girona"
CPRON	D	NA	18	"Granada"
CPRON	D	NA	19	"Guadalajara"
CPRON	D	NA	20	"Gipuzkoa"
CPRON	D	NA	21	"Huelva"
CPRON	D	NA	22	"Huesca"
CPRON	D	NA	23	"Jaén"
CPRON	D	NA	24	"León"
CPRON	D	NA	25	"Lleida"
CPRON	D	NA	26	"Rioja, La"
CPRON	D	NA	27	"Lugo"
CPRON	D	NA	28	"Madrid"
CPRON	D	NA	29	"Málaga"
CPRON	D	NA	30	"Murcia"
CPRON	D	NA	31	"Navarra"
CPRON	D	NA	32	"Ourense"
CPRON	D	NA	33	"Asturias"
CPRON	D	NA	34	"Palencia"
CPRON	D	NA	35	"Palmas, Las"
CPRON	D	NA	36	"Pontevedra"
CPRON	D	NA	37	"Salamanca"
CPRON	D	NA	38	"Santa Cruz de Tenerife"
CPRON	D	NA	39	"Cantabria"
CPRON	D	NA	40	"Segovia"
CPRON	D	NA	41	"Sevilla"
CPRON	D	NA	42	"Soria"
CPRON	D	NA	43	"Tarragona"
CPRON	D	NA	44	"Teruel"
CPRON	D	NA	45	"Toledo"
CPRON	D	NA	46	"Valencia/Valéncia"
CPRON	D	NA	47	"Valladolid"
CPRON	D	NA	48	"Bizkaia"
CPRON	D	NA	49	"Zamora"
CPRON	D	NA	50	"Zaragoza"
CPRON	D	NA	51	"Ceuta"
CPRON	D	NA	52	"Melilla"
CMUNN	D	NA	991	"Hasta 2.000 hab."
CMUNN	D	NA	992	"2.001-5.000 hab."
CMUNN	D	NA	993	"5.001-10.000 hab."
CMUNN	D	NA	994	"10.001-20.000 hab."
ANORES	N	NA	NA	""
ANOM	N	NA	NA	""
ANOC	N	NA	NA	""
ANOE	N	NA	NA	""
CLPAIS	D	NA	102	"Austria"
CLPAIS	D	NA	103	"Bélgica"
CLPAIS	D	NA	104	"Bulgaria"
CLPAIS	D	NA	106	"Chipre"
CLPAIS	D	NA	107	"Dinamarca"
CLPAIS	D	NA	108	"España"
CLPAIS	D	NA	109	"Finlandia"
CLPAIS	D	NA	110	"Francia"
CLPAIS	D	NA	111	"Grecia"
CLPAIS	D	NA	112	"Hungría"
CLPAIS	D	NA	113	"Irlanda"
CLPAIS	D	NA	115	"Italia"
CLPAIS	D	NA	117	"Luxemburgo"
CLPAIS	D	NA	118	"Malta"
