"var"	"tipo"	"nulo"	"llave"	"valor"
"CMUN"	"D"	"NA"	"15041"	"Laracha, A"
"CMUN"	"D"	"NA"	"15054"	"Narón"
"CMUN"	"D"	"NA"	"15057"	"Noia"
"CMUN"	"D"	"NA"	"15058"	"Oleiros"
"CMUN"	"D"	"NA"	"15059"	"Ordes"
"CMUN"	"D"	"NA"	"15070"	"Pontes de García Rodríguez, As"
"CMUN"	"D"	"NA"	"15072"	"Rianxo"
"CMUN"	"D"	"NA"	"15073"	"Ribeira"
"CMUN"	"D"	"NA"	"15075"	"Sada"
"CMUN"	"D"	"NA"	"15078"	"Santiago de Compostela"
"CMUN"	"D"	"NA"	"15082"	"Teo"
"CMUN"	"D"	"NA"	"16078"	"Cuenca"
"CMUN"	"D"	"NA"	"16203"	"Tarancón"
"CMUN"	"D"	"NA"	"17015"	"Banyoles"
"CMUN"	"D"	"NA"	"17022"	"Bisbal d'Empordà, La"
"CMUN"	"D"	"NA"	"17023"	"Blanes"
"CMUN"	"D"	"NA"	"17034"	"Calonge"
"CMUN"	"D"	"NA"	"17044"	"Cassà de la Selva"
"CMUN"	"D"	"NA"	"17047"	"Castelló d'Empúries"
"CMUN"	"D"	"NA"	"17048"	"Castell-Platja d'Aro"
"CMUN"	"D"	"NA"	"17062"	"Escala, L'"
"CMUN"	"D"	"NA"	"17066"	"Figueres"
"CMUN"	"D"	"NA"	"17079"	"Girona"
"CMUN"	"D"	"NA"	"17095"	"Lloret de Mar"
"CMUN"	"D"	"NA"	"17114"	"Olot"
"CMUN"	"D"	"NA"	"17117"	"Palafrugell"
"CMUN"	"D"	"NA"	"17118"	"Palamós"
"CMUN"	"D"	"NA"	"17147"	"Ripoll"
"CMUN"	"D"	"NA"	"17152"	"Roses"
"CMUN"	"D"	"NA"	"17155"	"Salt"
"CMUN"	"D"	"NA"	"17160"	"Sant Feliu de Guíxols"
"CMUN"	"D"	"NA"	"17180"	"Santa Coloma de Farners"
"CMUN"	"D"	"NA"	"17199"	"Torroella de Montgrí"
"CMUN"	"D"	"NA"	"18003"	"Albolote"
"CMUN"	"D"	"NA"	"18017"	"Almuñécar"
"CMUN"	"D"	"NA"	"18021"	"Armilla"
"CMUN"	"D"	"NA"	"18022"	"Atarfe"
"CMUN"	"D"	"NA"	"18023"	"Baza"
"CMUN"	"D"	"NA"	"18062"	"Churriana de la Vega"
"CMUN"	"D"	"NA"	"18087"	"Granada"
"CMUN"	"D"	"NA"	"18089"	"Guadix"
"CMUN"	"D"	"NA"	"18100"	"Huétor Tájar"
